pr_id,comment_id,source,author_login,actor_class,is_pr_author,is_study_author,eligible_as_independent_gold_candidate,is_process_only,text,path,class,atomic_issue_id,in_reference_set
1348,3801674253,inline,aaronbrethorst,human,false,false,true,false,"The first frequency row is used regardless of which frequency window the request time actually falls in. A trip with a peak/off-peak split in `frequencies.txt` — e.g. two rows for the same `trip_id`, `06:00-09:00 @600s` and `09:00-15:00 @1200s`, which is ordinary GTFS — will report the 06:00-09:00 window and a 10-minute headway for a 10:30 arrival. `startTime`, `endTime`, and `headway` are all wrong for any request outside the earliest window.

`serviceDate` (and the caller's effective time) is already in hand here, so the row whose `[start_time, end_time)` contains the requested time should be selected, falling back to the first row only when none matches. The same `freqs[0]` / `freqRows[0]` shortcut is repeated in `trip_for_vehicle_handler.go:120`, `arrival_and_departure_for_stop_handler.go:437`, and `arrivals_and_departures_for_stop_handler.go:502`, so a shared selector here would fix all of them at once.
",internal/restapi/trips_helper.go,,1348-015,false
1348,3801674344,inline,aaronbrethorst,human,false,false,true,false,"When a route/direction has only `exact_times=0` frequency trips at this stop, `routeDirectionScheduleMap` has no entry for the route, so `directionMap` is a nil map and `directionMap[dirID]` yields a nil slice. `NewStopRouteDirectionSchedule` special-cases nil `frequencies` (`[]ScheduleFrequency{}`) but passes `stopTimes` straight through, so the response emits `""scheduleStopTimes"": null`.

`testdata/openapi.yml` lists `scheduleStopTimes` in `StopRouteDirectionSchedule.required`, and Java OBA emits an empty list — a `null` here will break clients that iterate the array unguarded. The fixture in `frequency_fixture_test.go` puts a plain scheduled trip in the same route+direction as the frequency trips, so this path is never exercised by the new tests.

Simplest fix is to mirror the frequencies handling in `NewStopRouteDirectionSchedule`:

```suggestion
			stopTimes := directionMap[dirID]
			if stopTimes == nil {
				stopTimes = []models.ScheduleStopTime{}
			}
			directionSchedule := models.NewStopRouteDirectionSchedule(tripHeadsign, stopTimes, frequencies)
```
",internal/restapi/schedule_for_stop_handler.go,,1348-016,false
1348,3801674449,inline,aaronbrethorst,human,false,false,true,false,"Seeding every trip ID with `nil` *before* the batch query means a failed batch query is indistinguishable from ""these trips have no frequencies"". If `GetFrequenciesForTrips` returns an error, the code logs a warning and falls through with the map fully seeded, so `frequencyForEntry` finds `ok == true` for every trip, skips its fallback query, and returns `nil` — the whole response goes out as a 200 with `frequency: null` on every arrival and `status.frequency: null` throughout.

That contradicts the PR description's ""strict error propagation (HTTP 500) for database failures during frequency lookups"", and per CONTRIBUTING a non-`sql.ErrNoRows` DB error should go through `serverErrorResponse`. Moving the seeding loop into the `else` branch (so it only runs after a successful batch) would at least let the per-trip fallback take over; propagating the error is better still.

The same pattern is in `trips_for_location_handler.go:437-444` and `trips_for_route_handler.go:335-343`.
",internal/restapi/arrivals_and_departures_for_stop_handler.go,,1348-017,false
1348,3801678351,inline,aaronbrethorst,human,false,false,true,false,"The first frequency row is used regardless of which frequency window the request time actually falls in. A trip with a peak/off-peak split in `frequencies.txt` — e.g. two rows for the same `trip_id`, `06:00-09:00 @600s` and `09:00-15:00 @1200s`, which is ordinary GTFS — will report the 06:00-09:00 window and a 10-minute headway for a 10:30 arrival. `startTime`, `endTime`, and `headway` are all wrong for any request outside the earliest window.

`serviceDate` (and the caller's effective time) is already in hand here, so the row whose `[start_time, end_time)` contains the requested time should be selected, falling back to the first row only when none matches. The same `freqs[0]` / `freqRows[0]` shortcut is repeated in `trip_for_vehicle_handler.go:120`, `arrival_and_departure_for_stop_handler.go:437`, and `arrivals_and_departures_for_stop_handler.go:502`, so a shared selector here would fix all of them at once.
",internal/restapi/trips_helper.go,,1348-018,false
1348,3801678897,inline,aaronbrethorst,human,false,false,true,false,"When a route/direction has only `exact_times=0` frequency trips at this stop, `routeDirectionScheduleMap` has no entry for the route, so `directionMap` is a nil map and `directionMap[dirID]` yields a nil slice. `NewStopRouteDirectionSchedule` special-cases nil `frequencies` (`[]ScheduleFrequency{}`) but passes `stopTimes` straight through, so the response emits `""scheduleStopTimes"": null`.

`testdata/openapi.yml` lists `scheduleStopTimes` in `StopRouteDirectionSchedule.required`, and Java OBA emits an empty list — a `null` here will break clients that iterate the array unguarded. The fixture in `frequency_fixture_test.go` puts a plain scheduled trip in the same route+direction as the frequency trips, so this path is never exercised by the new tests.

Simplest fix is to mirror the frequencies handling in `NewStopRouteDirectionSchedule`:

```suggestion
			stopTimes := directionMap[dirID]
			if stopTimes == nil {
				stopTimes = []models.ScheduleStopTime{}
			}
			directionSchedule := models.NewStopRouteDirectionSchedule(tripHeadsign, stopTimes, frequencies)
```
",internal/restapi/schedule_for_stop_handler.go,,1348-019,false
1348,3801679012,inline,aaronbrethorst,human,false,false,true,false,"Seeding every trip ID with `nil` *before* the batch query means a failed batch query is indistinguishable from ""these trips have no frequencies"". If `GetFrequenciesForTrips` returns an error, the code logs a warning and falls through with the map fully seeded, so `frequencyForEntry` finds `ok == true` for every trip, skips its fallback query, and returns `nil` — the whole response goes out as a 200 with `frequency: null` on every arrival and `status.frequency: null` throughout.

That contradicts the PR description's ""strict error propagation (HTTP 500) for database failures during frequency lookups"", and per CONTRIBUTING a non-`sql.ErrNoRows` DB error should go through `serverErrorResponse`. Moving the seeding loop into the `else` branch (so it only runs after a successful batch) would at least let the per-trip fallback take over; propagating the error is better still.

The same pattern is in `trips_for_location_handler.go:437-444` and `trips_for_route_handler.go:335-343`.
",internal/restapi/arrivals_and_departures_for_stop_handler.go,,1348-020,false
1348,3801679108,inline,aaronbrethorst,human,false,false,true,false,"`freqErr` is swallowed here — a DB failure is silently indistinguishable from ""no frequencies for this trip"", and the arrival goes out with `frequency: null` and a 200. Every other frequency lookup added in this PR either propagates (`trip_for_vehicle_handler.go:115`, `schedule_for_stop_handler.go:172`) or at minimum logs. Per CONTRIBUTING, a non-`sql.ErrNoRows` error should reach `serverErrorResponse`:

```suggestion
	freqRows, freqErr := api.GtfsManager.GtfsDB.Queries.GetFrequenciesForTrip(ctx, tripID)
	if freqErr != nil {
		api.serverErrorResponse(w, r, freqErr)
		return
	}
	if len(freqRows) > 0 {
```
",internal/restapi/arrival_and_departure_for_stop_handler.go,,1348-021,false
1348,3801679198,inline,aaronbrethorst,human,false,false,true,false,"This assignment sits below the `CANCELED` early return at line 103, so a canceled frequency-based trip gets `status.frequency: null` while the enclosing entry (`TripDetails.Frequency`, `ArrivalAndDeparture.Frequency`, `TripsForRouteListEntry.Frequency`) still carries the frequency — the same trip reports two different answers in one response. Frequency is static schedule data and is just as valid for a canceled trip as `serviceDate` and `blockTripSequence`, both of which the code deliberately computes before that early return. Consider moving the lookup up next to `blockTripSequence` for the same reason.
",internal/restapi/trips_helper.go,,1348-022,false
1348,3801679279,inline,aaronbrethorst,human,false,false,true,false,"`tripIDs` here is unbounded — it is every distinct trip serving this stop on the target date, which at a busy downtown stop can be well over a thousand. This is the only query in the handler whose bind-variable count scales with trip count (`GetScheduleForStopOnDate` binds route IDs, `GetTripsByBlockIDs` binds block IDs), and it now hard-fails the whole request with a 500 (""too many SQL variables"") on exactly the stops most likely to be requested.

`queryInBatches` in `reference_utils.go:520` exists for this and is documented as staying under the oldest 999-variable limit so behavior doesn't depend on which SQLite the build links against:

```suggestion
		allFreqs, freqErr := queryInBatches(ctx, tripIDs, api.GtfsManager.GtfsDB.Queries.GetFrequenciesForTrips)
```
",internal/restapi/schedule_for_stop_handler.go,,1348-023,false
1348,3801679361,inline,aaronbrethorst,human,false,false,true,false,"When `includeStatus` is true (the default), `BuildTripStatus` was already called at line 76 with a nil `freqMap`, which runs `GetFrequenciesForTrip(ctx, tripID)` for this same trip inside `frequencyForEntry`. This is a second identical round-trip on every request. Passing a one-entry `freqMap` seeded here (or reading `status.Frequency` back) removes the duplicate — minor, but this PR's stated goal is eliminating redundant frequency queries. The same duplication exists in `arrival_and_departure_for_stop_handler.go:436`.
",internal/restapi/trip_for_vehicle_handler.go,,1348-024,false
